#extraData,1
#extraDataNum,1
#extraDataFilter,0
#inputs,1
#inputsNum,4
#inputsFilter,1,1,1,1
#outputs,1
#outputsNum,12
#outputsFilter,1,0,0,0,0,0,0,0,0,0,0,0
Index,Temperature,L,R,A_M,Type,Color_Blue-White,Color_Orange,Color_Red,Color_White,Color_White-Yellow,Spectral_Class_B,Spectral_Class_F,Spectral_Class_G,Spectral_Class_K,Spectral_Class_M,Spectral_Class_O
148,7723,0.00014,0.00878,14.81,2,0,0,0,1,0,0,0,0,0,0,0
149,12984,0.00088,0.00996,11.23,2,1,0,0,0,0,1,0,0,0,0,0
150,29560,188000.0,6.02,-4.01,3,1,0,0,0,0,1,0,0,0,0,0
151,8945,38.0,2.487,0.12,3,1,0,0,0,0,0,0,0,0,0,0
170,3570,320000.0,1480.0,-7.58,5,0,0,1,0,0,0,0,0,0,1,0
205,19920,0.00156,0.0142,11.34,2,0,0,0,0,0,1,0,0,0,0,0
233,27739,849420.0,1252.0,-7.59,5,1,0,0,0,0,1,0,0,0,0,0
234,21904,748490.0,1130.0,-7.67,5,1,0,0,0,0,1,0,0,0,0,0
235,38940,374830.0,1356.0,-9.93,5,0,0,0,0,0,0,0,0,0,0,1
236,30839,834042.0,1194.0,-10.63,5,0,0,0,0,0,0,0,0,0,0,1
237,8829,537493.0,1423.0,-10.73,5,0,0,0,1,0,0,0,0,0,0,0
238,9235,404940.0,1112.0,-11.23,5,0,0,0,1,0,0,0,0,0,0,0
